clinic_id,name,city,state,status_code,photo_url
"1606_3","Alpha Sleep Labs","Amarillo","TX","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyOMBTsP1E7gRa_IqUPTMXZyLKUfPADT6bHRvq72Mqj7EBWZMkeASfaN14Co1xsYGpukblGW4R1OwIxSmgGKtVdTfES7LMO3qPiApFnolv80DDxRQCWHM-kIkJwW2rdSDLbxqQ=w800-h600-k-no-p-k-no"
"1610_1","Penn Medicine Princeton Medical Center","Plainsboro","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmUg73L-lpOUtmm7C65RN5k4XYLzT6nJy6Xa2HIcBg9o2vVr84d_0poO1Y3E9xX80FxH7gKJrPjjaQtsLxsWIQ6BHRUtQZn5TSPxvEpvk9lOQBIqEqun_78eyae8PuSM_RWNU=w800-h600-k-no-p-k-no"
"1618_1","BSA Sleep Disorders Center","Amarillo","TX","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyMi1Q7cB9zviaY_Z2v8aUwXZmn_B8l9ytyMPuxHFolXm8IdTmqyT_XmFswoxSjnSq3GxdLufntOvvpOMJ7RQqKBbEjzF_lLefiIta8KU8I4EdvfEfFdJDjXollmUe8ifCdH85xyQ=w800-h600-k-no-p-k-no"
"1620_2","Faith Regional Physician Services Neurology","Norfolk","NE","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwYlZpPeWr915EwLxRmtVrCrOiV6ae5yYtDvQiKB0phFQnummOHrC7ZFKc8PlmnZGv6lAM_-lWmnB6xrJjkeMBMwt7j_eBUaNNL6LaghXo9jDOVkFMpNXqZZifryKxSv88n0L3q=w800-h600-k-no-p-k-no"
"1632_2","Oakleaf Clinics Sleep Disorders Center","Chippewa Falls","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyF8L5oCraFm7Lar9nEp0u3GoCPB5cWo1d7sYicggQBwND9boPf9feHxC2xa9JOvfZpClkbxrxDB_uA2RuOWvM0nYvkayqCRDENol93PqMwdRsD4Rm22FzTcK8iuywMeedLbyu0fg=w800-h600-k-no"
"1635_1","Center for Sleep Medicine Eau Claire","Eau Claire","WI","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymDeGFf_fkBIIXEKHOUCuiC20HsViy57qmocWJ63I3PcSXXu42H6ZolwGE29mbehhg8Zz5-9ZJe6Urd10gxcUlTExHPfzdbhQnfZ4hqhFbGQ5u92Xwipf5MWM9UK4cQLmeUSw=w800-h600-k-no-p-k-no"
"1642_2","UR Medicine Sleep Center","Canandaigua","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwrUCPRMihvlaKRGDHzIBUPJgISokcM-jQC0kuqo0KnZdDkD1vjMbWvLn4V9DaGMSpDK4LApuNNwhR22_v2v8lfv2O2NRP9sagRrvcH4BraURuLt4G6Fz4uVszrKqn79UEBtJkN=w800-h600-k-no-p-k-no"
"1642_1","UR Medicine Sleep Center","Rochester","NY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxtye3l2ApSMDTf9ID2d2QTbXx5IummLXxNDvu9zeW602n4r7-XQUkIzqm3R_WMYXS51FvDmBW3OBrYf717MkxkqMyqay2eI5IO7072uOaCsytGobGNYdTaXbj7OcybPj-z1nME9w=w800-h600-k-no-p-k-no"
"1650_1","Sleep Disorders Center at Summit Health","Cranford","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzGGvnTh0hyW0Vl5QR2yOoDswACi14ypfwDM8kbN9eKcDGZC9s1TwUgtOifAaRkCokRi5IfhjjsgJhmMFvQVOIKMbQI_CJBU18t_o4X-2GNVvMkAk1iOw_ayKkrfPhts1Z6NkW2=w800-h600-k-no-p-k-no"
"1659_1","The Center for Sleep Disorders at Saint Barnabas Medical Center","Livingston","NJ","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4gXWfhdNXbpfIMQw5aRB3rG9Kc_E1PYMTejvy2ek35t3q57WQ2wGQyJcuI1BN8oHTB5lRyQ0XZslbCFaqEXZTp5rKtFuAyCvhP1YKAE4Uir0M3do9hw517Fj7FEZJYnUmYwoG=w800-h600-k-no"
